system time, time elapsed, drive_pos, drive_torque
1763924216685053504,0.001006,0.000000,0.770739,
1763924216691017393,0.006970,0.000852,0.954739,
1763924216697019429,0.012972,0.003324,0.970360,
1763924216703023595,0.018976,0.007627,0.927293,
1763924216709020947,0.024973,0.014147,0.950478,
1763924216715026428,0.030979,0.023052,0.967087,
1763924216721023946,0.036976,0.033449,1.000481,
1763924216727023834,0.042976,0.045635,0.921730,
1763924216733017649,0.048970,0.059484,0.976471,
1763924216739022056,0.054974,0.074568,0.840766,
1763924216745021167,0.060974,0.090973,0.807885,
1763924216751020462,0.066973,0.108485,0.689482,
1763924216757020962,0.072973,0.125998,0.567315,
1763924216763022424,0.078975,0.143298,0.636695,
1763924216769016998,0.084969,0.160853,0.554459,
1763924216775027294,0.090980,0.178323,0.568356,
1763924216781024720,0.096977,0.196262,0.362182,
1763924216787106146,0.103059,0.213477,0.393595,
1763924216793091997,0.109045,0.230947,0.410692,
1763924216799058311,0.115011,0.246670,0.442936,
1763924216804025452,0.119978,0.260987,0.635458,
1763924216809024964,0.124978,0.275517,0.496468,
1763924216814027662,0.129980,0.290090,0.524711,
1763924216819044396,0.134997,0.306324,0.529979,
1763924216825047210,0.141000,0.321877,0.615992,
1763924216830018722,0.145971,0.338282,0.699933,
1763924216836022759,0.151975,0.355454,0.657102,
1763924216842039444,0.157992,0.372796,0.693326,
1763924216848044221,0.163997,0.390096,0.537085,
1763924216854042350,0.169995,0.407438,0.571664,
1763924216860039646,0.175992,0.424738,0.585321,
1763924216866045072,0.181998,0.442080,0.725083,
1763924216872043164,0.187996,0.459508,0.555494,
1763924216878024682,0.193977,0.476850,0.659196,
1763924216884025867,0.199978,0.494533,0.442082,
1763924216890026699,0.205979,0.511705,0.534515,
1763924216896025643,0.211978,0.529218,0.588765,
1763924216902022032,0.217974,0.546475,0.653776,
1763924216908028069,0.223980,0.563903,0.781638,
1763924216914025161,0.229978,0.581160,0.725807,
1763924216920024642,0.235977,0.598417,0.752724,
1763924216926021845,0.241974,0.615759,0.654254,
1763924216932026215,0.247979,0.635957,0.707753,
1763924216937426581,0.253380,0.647376,0.877751,
1763924216942145999,0.258099,0.659989,0.799523,
1763924216947057603,0.263011,0.676095,0.625259,
1763924216953619569,0.269572,0.693395,0.481381,
1763924216958089893,0.274043,0.707968,0.687798,
1763924216964110726,0.280063,0.725225,0.671684,
1763924216969092552,0.285045,0.738647,0.694850,
1763924216974202250,0.290155,0.754242,0.675392,
